DATE,BAMLEMCBPIOAS
2020-04-17,5.35
2020-04-20,5.34
2020-04-21,5.41
2020-04-22,5.42
2020-04-23,5.40
2020-04-24,5.44
2020-04-27,5.41
2020-04-28,5.41
2020-04-29,5.34
2020-04-30,5.18
2020-05-01,5.17
2020-05-04,5.21
2020-05-05,5.17
2020-05-06,5.13
2020-05-07,5.16
2020-05-08,5.08
2020-05-11,5.01
2020-05-12,4.98
2020-05-13,4.99
2020-05-14,5.02
2020-05-15,4.98
2020-05-18,4.85
2020-05-19,4.81
2020-05-20,4.75
2020-05-21,4.64
2020-05-22,4.66
2020-05-25,4.66
2020-05-26,4.60
2020-05-27,4.56
2020-05-28,4.53
2020-05-29,4.56
2020-05-31,4.52
2020-06-01,4.48
2020-06-02,4.42
2020-06-03,4.27
2020-06-04,4.21
2020-06-05,4.08
2020-06-08,3.99
2020-06-09,4.01
2020-06-10,4.06
2020-06-11,4.15
2020-06-12,4.15
2020-06-15,4.19
2020-06-16,4.09
2020-06-17,4.09
2020-06-18,4.10
2020-06-19,4.08
2020-06-22,4.06
2020-06-23,4.04
2020-06-24,4.06
2020-06-25,4.07
